"","X.1","X","prod_name","pantry","refrigerator","freezer","splitlen","status","new_prod","raw_prod","pantry_times","pantry_num","pantry_min","pantry_max","pantry_mult","pantry_mindays","pantry_maxdays","refrigerator_times","refrigerator_num","refrigerator_min","refrigerator_max","refrigerator_mult","refrigerator_mindays","refrigerator_maxdays","freezer_times","freezer_num","freezer_min","freezer_max","freezer_mult","freezer_mindays","freezer_maxdays","new_status","new_status_2"
"2232",2232,"http://www.stilltasty.com/searchitems/index/83.href"," HAMBURGER ROLLS OR BUNS, COMMERCIALLY BAKED — UNOPENED OR OPENED","5-7 days",NA,"3 months",2,"UNOPENED OR OPENED"," HAMBURGER ROLLS OR BUNS, COMMERCIALLY BAKED"," HAMBURGER ROLLS OR BUNS","days","5-7",5,7,1,5,7,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"UNOPENED OR OPENED",NA
"2233",2233,"http://www.stilltasty.com/searchitems/index/83.href"," HONEY OAT BREAD — HOMEMADE","4-5 days",NA,"3 months",2,"HOMEMADE"," HONEY OAT BREAD"," HONEY OAT BREAD","days","4-5",4,5,1,4,5,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"HOMEMADE",NA
"2234",2234,"http://www.stilltasty.com/searchitems/index/83.href"," HONEY OAT BREAD, COMMERCIALLY BAKED, PRE-SLICED — UNOPENED OR OPENED BAG","5-7 days",NA,"3 months",2,"UNOPENED OR OPENED BAG"," HONEY OAT BREAD, COMMERCIALLY BAKED, PRE-SLICED"," HONEY OAT BREAD","days","5-7",5,7,1,5,7,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"UNOPENED OR OPENED BAG",NA
"2235",2235,"http://www.stilltasty.com/searchitems/index/83.href"," HONEY OAT BREAD, COMMERCIALLY BAKED, UNSLICED — UNOPENED OR OPENED BAG","4-5 days",NA,"3 months",2,"UNOPENED OR OPENED BAG"," HONEY OAT BREAD, COMMERCIALLY BAKED, UNSLICED"," HONEY OAT BREAD","days","4-5",4,5,1,4,5,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"UNOPENED OR OPENED BAG",NA
"2236",2236,"http://www.stilltasty.com/searchitems/index/83.href"," HOT ROLL MIX, DRY, COMMERCIALLY PACKAGED — UNOPENED OR OPENED","12-18 months",NA,NA,2,"UNOPENED OR OPENED"," HOT ROLL MIX, DRY, COMMERCIALLY PACKAGED"," HOT ROLL MIX","months","12-18",12,18,30,360,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED OR OPENED",NA
"2237",2237,"http://www.stilltasty.com/searchitems/index/83.href"," HOTDOG ROLLS OR BUNS — HOMEMADE","4-5 days",NA,"3 months",2,"HOMEMADE"," HOTDOG ROLLS OR BUNS"," HOTDOG ROLLS OR BUNS","days","4-5",4,5,1,4,5,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"HOMEMADE",NA
"2238",2238,"http://www.stilltasty.com/searchitems/index/83.href"," HOTDOG ROLLS OR BUNS, COMMERCIALLY BAKED — UNOPENED OR OPENED","5-7 days",NA,"3 months",2,"UNOPENED OR OPENED"," HOTDOG ROLLS OR BUNS, COMMERCIALLY BAKED"," HOTDOG ROLLS OR BUNS","days","5-7",5,7,1,5,7,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"UNOPENED OR OPENED",NA
"2239",2239,"http://www.stilltasty.com/searchitems/index/83.href"," ITALIAN BREAD — HOMEMADE","4-5 days",NA,"3 months",2,"HOMEMADE"," ITALIAN BREAD"," ITALIAN BREAD","days","4-5",4,5,1,4,5,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"HOMEMADE",NA
"2240",2240,"http://www.stilltasty.com/searchitems/index/83.href"," ITALIAN BREAD, COMMERCIALLY BAKED, UNSLICED — UNOPENED OR OPENED PACKAGE","1-2 days",NA,"3 months",2,"UNOPENED OR OPENED PACKAGE"," ITALIAN BREAD, COMMERCIALLY BAKED, UNSLICED"," ITALIAN BREAD","days","1-2",1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"UNOPENED OR OPENED PACKAGE",NA
"2241",2241,"http://www.stilltasty.com/searchitems/index/83.href"," KAISER ROLLS OR BUNS — HOMEMADE","4-5 days",NA,"3 months",2,"HOMEMADE"," KAISER ROLLS OR BUNS"," KAISER ROLLS OR BUNS","days","4-5",4,5,1,4,5,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"HOMEMADE",NA
"2242",2242,"http://www.stilltasty.com/searchitems/index/83.href"," KAISER ROLLS OR BUNS, COMMERCIALLY BAKED — UNOPENED OR OPENED","5-7 days",NA,"3 months",2,"UNOPENED OR OPENED"," KAISER ROLLS OR BUNS, COMMERCIALLY BAKED"," KAISER ROLLS OR BUNS","days","5-7",5,7,1,5,7,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"UNOPENED OR OPENED",NA
"2243",2243,"http://www.stilltasty.com/searchitems/index/83.href"," KEY LIME PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"2 weeks",NA,2,"OPENED"," KEY LIME PIE FILLING, COMMERCIALLY CANNED OR BOTTLED"," KEY LIME PIE FILLING",NA,NA,NA,NA,NA,NA,NA,"weeks","2",2,2,7,14,14,NA,NA,NA,NA,NA,NA,NA,"OPENED","OPENED"
"2244",2244,"http://www.stilltasty.com/searchitems/index/83.href"," KEY LIME PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","3 years",NA,NA,2,"UNOPENED"," KEY LIME PIE FILLING, COMMERCIALLY CANNED OR BOTTLED"," KEY LIME PIE FILLING","years","3",3,3,365,1095,1095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"2245",2245,"http://www.stilltasty.com/searchitems/index/83.href"," KEY LIME PIE — BAKED",NA,"2-3 days","1-2 months",2,"BAKED"," KEY LIME PIE"," KEY LIME PIE",NA,NA,NA,NA,NA,NA,NA,"days","2-3",2,3,1,2,3,"months","1-2",1,2,30,30,60,"BAKED",NA
"2246",2246,"http://www.stilltasty.com/searchitems/index/83.href"," LEMON BREAD — FRESHLY BAKED","1-2 days","1 week","2-3 months",2,"FRESHLY BAKED"," LEMON BREAD"," LEMON BREAD","days","1-2",1,2,1,1,2,"week","1",1,1,7,7,7,"months","2-3",2,3,30,60,90,"FRESHLY BAKED",NA
"2247",2247,"http://www.stilltasty.com/searchitems/index/83.href"," LEMON CAKE, BAKED, HOMEMADE OR BAKERY-PURCHASED — FROSTED","1-2 days","7 days","2-4 months",2,"FROSTED"," LEMON CAKE, BAKED, HOMEMADE OR BAKERY-PURCHASED"," LEMON CAKE","days","1-2",1,2,1,1,2,"days","7",7,7,1,7,7,"months","2-4",2,4,30,60,120,"FROSTED",NA
"2248",2248,"http://www.stilltasty.com/searchitems/index/83.href"," LEMON CAKE, BAKED, HOMEMADE OR BAKERY-PURCHASED — UNFROSTED","1-2 days","7 days","4-6 months",2,"UNFROSTED"," LEMON CAKE, BAKED, HOMEMADE OR BAKERY-PURCHASED"," LEMON CAKE","days","1-2",1,2,1,1,2,"days","7",7,7,1,7,7,"months","4-6",4,6,30,120,180,"UNFROSTED",NA
"2249",2249,"http://www.stilltasty.com/searchitems/index/83.href"," LEMON CHIFFON PIE — HOMEMADE OR BAKERY-PURCHASED",NA,"2-3 days","1-2 months",2,"HOMEMADE OR BAKERY-PURCHASED"," LEMON CHIFFON PIE"," LEMON CHIFFON PIE",NA,NA,NA,NA,NA,NA,NA,"days","2-3",2,3,1,2,3,"months","1-2",1,2,30,30,60,"HOMEMADE OR BAKERY-PURCHASED",NA
"2250",2250,"http://www.stilltasty.com/searchitems/index/83.href"," LEMON CREAM PIE — HOMEMADE OR BAKERY-PURCHASED",NA,"3-4 days",NA,2,"HOMEMADE OR BAKERY-PURCHASED"," LEMON CREAM PIE"," LEMON CREAM PIE",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,"HOMEMADE OR BAKERY-PURCHASED",NA
"2251",2251,"http://www.stilltasty.com/searchitems/index/83.href"," LEMON MERINGUE PIE — BAKED",NA,"2-3 days",NA,2,"BAKED"," LEMON MERINGUE PIE"," LEMON MERINGUE PIE",NA,NA,NA,NA,NA,NA,NA,"days","2-3",2,3,1,2,3,NA,NA,NA,NA,NA,NA,NA,"BAKED",NA
"2252",2252,"http://www.stilltasty.com/searchitems/index/83.href"," LEMON PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"2 weeks",NA,2,"OPENED"," LEMON PIE FILLING, COMMERCIALLY CANNED OR BOTTLED"," LEMON PIE FILLING",NA,NA,NA,NA,NA,NA,NA,"weeks","2",2,2,7,14,14,NA,NA,NA,NA,NA,NA,NA,"OPENED","OPENED"
"2253",2253,"http://www.stilltasty.com/searchitems/index/83.href"," LEMON PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","3 years",NA,NA,2,"UNOPENED"," LEMON PIE FILLING, COMMERCIALLY CANNED OR BOTTLED"," LEMON PIE FILLING","years","3",3,3,365,1095,1095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"2254",2254,"http://www.stilltasty.com/searchitems/index/83.href"," LIME CREAM PIE — HOMEMADE OR BAKERY-PURCHASED",NA,"3-4 days",NA,2,"HOMEMADE OR BAKERY-PURCHASED"," LIME CREAM PIE"," LIME CREAM PIE",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,"HOMEMADE OR BAKERY-PURCHASED",NA
"2255",2255,"http://www.stilltasty.com/searchitems/index/83.href"," MELBA TOAST, COMMERCIALLY PACKAGED — UNOPENED OR OPENED PACKAGE","1 year",NA,NA,2,"UNOPENED OR OPENED PACKAGE"," MELBA TOAST, COMMERCIALLY PACKAGED"," MELBA TOAST","year","1",1,1,365,365,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED OR OPENED PACKAGE",NA
"2256",2256,"http://www.stilltasty.com/searchitems/index/83.href"," MINCEMEAT PIE — BAKED",NA,"3-4 days","6-8 months",2,"BAKED"," MINCEMEAT PIE"," MINCEMEAT PIE",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,"months","6-8",6,8,30,180,240,"BAKED",NA
"2257",2257,"http://www.stilltasty.com/searchitems/index/83.href"," MUFFIN MIX, DRY, COMMERCIALLY PACKAGED — UNOPENED OR OPENED","12-18 months",NA,NA,2,"UNOPENED OR OPENED"," MUFFIN MIX, DRY, COMMERCIALLY PACKAGED"," MUFFIN MIX","months","12-18",12,18,30,360,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED OR OPENED",NA
"2258",2258,"http://www.stilltasty.com/searchitems/index/83.href"," MUFFINS (INCLUDING BRAN, BLUEBERRY, BANANA, CORN, CHOCOLATE CHIP) — FRESHLY BAKED","1-2 days","1 week","2-3 months",2,"FRESHLY BAKED"," MUFFINS (INCLUDING BRAN, BLUEBERRY, BANANA, CORN, CHOCOLATE CHIP)"," MUFFINS (INCLUDING BRAN","days","1-2",1,2,1,1,2,"week","1",1,1,7,7,7,"months","2-3",2,3,30,60,90,"FRESHLY BAKED",NA
"2259",2259,"http://www.stilltasty.com/searchitems/index/83.href"," MULTI-GRAIN BREAD — HOMEMADE","4-5 days",NA,"3 months",2,"HOMEMADE"," MULTI-GRAIN BREAD"," MULTI-GRAIN BREAD","days","4-5",4,5,1,4,5,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"HOMEMADE",NA
"2260",2260,"http://www.stilltasty.com/searchitems/index/83.href"," MULTI-GRAIN BREAD, COMMERCIALLY BAKED, PRE-SLICED — UNOPENED OR OPENED BAG","5-7 days",NA,"3 months",2,"UNOPENED OR OPENED BAG"," MULTI-GRAIN BREAD, COMMERCIALLY BAKED, PRE-SLICED"," MULTI-GRAIN BREAD","days","5-7",5,7,1,5,7,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"UNOPENED OR OPENED BAG",NA
"2261",2261,"http://www.stilltasty.com/searchitems/index/83.href"," MULTI-GRAIN BREAD, COMMERCIALLY BAKED, UNSLICED — UNOPENED OR OPENED BAG","4-5 days",NA,"3 months",2,"UNOPENED OR OPENED BAG"," MULTI-GRAIN BREAD, COMMERCIALLY BAKED, UNSLICED"," MULTI-GRAIN BREAD","days","4-5",4,5,1,4,5,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"UNOPENED OR OPENED BAG",NA
"2262",2262,"http://www.stilltasty.com/searchitems/index/83.href"," MULTI-GRAIN ROLLS OR BUNS — HOMEMADE","4-5 days",NA,"3 months",2,"HOMEMADE"," MULTI-GRAIN ROLLS OR BUNS"," MULTI-GRAIN ROLLS OR BUNS","days","4-5",4,5,1,4,5,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"HOMEMADE",NA
"2263",2263,"http://www.stilltasty.com/searchitems/index/83.href"," MULTI-GRAIN ROLLS OR BUNS, COMMERCIALLY BAKED — UNOPENED OR OPENED","5-7 days",NA,"3 months",2,"UNOPENED OR OPENED"," MULTI-GRAIN ROLLS OR BUNS, COMMERCIALLY BAKED"," MULTI-GRAIN ROLLS OR BUNS","days","5-7",5,7,1,5,7,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"UNOPENED OR OPENED",NA
"2264",2264,"http://www.stilltasty.com/searchitems/index/83.href"," NUT BREAD — FRESHLY BAKED","1-2 days","1 week","2-3 months",2,"FRESHLY BAKED"," NUT BREAD"," NUT BREAD","days","1-2",1,2,1,1,2,"week","1",1,1,7,7,7,"months","2-3",2,3,30,60,90,"FRESHLY BAKED",NA
"2265",2265,"http://www.stilltasty.com/searchitems/index/83.href"," OATMEAL BREAD — HOMEMADE","4-5 days",NA,"3 months",2,"HOMEMADE"," OATMEAL BREAD"," OATMEAL BREAD","days","4-5",4,5,1,4,5,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"HOMEMADE",NA
"2266",2266,"http://www.stilltasty.com/searchitems/index/83.href"," OATMEAL BREAD, COMMERCIALLY BAKED, PRE-SLICED — UNOPENED OR OPENED BAG","5-7 days",NA,"3 months",2,"UNOPENED OR OPENED BAG"," OATMEAL BREAD, COMMERCIALLY BAKED, PRE-SLICED"," OATMEAL BREAD","days","5-7",5,7,1,5,7,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"UNOPENED OR OPENED BAG",NA
"2267",2267,"http://www.stilltasty.com/searchitems/index/83.href"," OATMEAL BREAD, COMMERCIALLY BAKED, UNSLICED — UNOPENED OR OPENED BAG","4-5 days",NA,"3 months",2,"UNOPENED OR OPENED BAG"," OATMEAL BREAD, COMMERCIALLY BAKED, UNSLICED"," OATMEAL BREAD","days","4-5",4,5,1,4,5,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"UNOPENED OR OPENED BAG",NA
"2268",2268,"http://www.stilltasty.com/searchitems/index/83.href"," PANCAKE / WAFFLE BATTER — HOMEMADE",NA,"1-2 days","3 months",3,"HOMEMADE"," PANCAKEWAFFLE BATTER"," PANCAKEWAFFLE BATTER",NA,NA,NA,NA,NA,NA,NA,"days","1-2",1,2,1,1,2,"months","3",3,3,30,90,90,"HOMEMADE",NA
"2269",2269,"http://www.stilltasty.com/searchitems/index/83.href"," PANCAKE/ WAFFLE MIX, DRY, COMMERCIALLY PACKAGED — UNOPENED OR OPENED","1 year",NA,NA,2,"UNOPENED OR OPENED"," PANCAKE/ WAFFLE MIX, DRY, COMMERCIALLY PACKAGED"," PANCAKE/ WAFFLE MIX","year","1",1,1,365,365,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED OR OPENED",NA
"2270",2270,"http://www.stilltasty.com/searchitems/index/83.href"," PANCAKES — COOKED AT HOME, LEFTOVERS",NA,"1 day","1-2 months",2,"COOKED AT HOME, LEFTOVERS"," PANCAKES"," PANCAKES",NA,NA,NA,NA,NA,NA,NA,"day","1",1,1,1,1,1,"months","1-2",1,2,30,30,60,"COOKED AT HOME, LEFTOVERS","COOKED"
"2271",2271,"http://www.stilltasty.com/searchitems/index/83.href"," PANCAKES — PURCHASED COMMERCIALLY FROZEN",NA,NA,"2 months",2,"PURCHASED COMMERCIALLY FROZEN"," PANCAKES"," PANCAKES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"months","2",2,2,30,60,60,"PURCHASED COMMERCIALLY FROZEN","FROZEN"
"2272",2272,"http://www.stilltasty.com/searchitems/index/83.href"," PASTRIES (INCLUDING DANISH PASTRY) — FILLED WITH CREAM, CUSTARD OR CHEESE",NA,"3-4 days","2-3 months",2,"FILLED WITH CREAM, CUSTARD OR CHEESE"," PASTRIES (INCLUDING DANISH PASTRY)"," PASTRIES (INCLUDING DANISH PASTRY)",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,"months","2-3",2,3,30,60,90,"FILLED WITH CREAM, CUSTARD OR CHEESE",NA
"2273",2273,"http://www.stilltasty.com/searchitems/index/84.href"," PASTRIES (INCLUDING DANISH PASTRY) — PLAIN OR FILLED WITH JAM OR JELLY","1-2 days","1 week","2-3 months",2,"PLAIN OR FILLED WITH JAM OR JELLY"," PASTRIES (INCLUDING DANISH PASTRY)"," PASTRIES (INCLUDING DANISH PASTRY)","days","1-2",1,2,1,1,2,"week","1",1,1,7,7,7,"months","2-3",2,3,30,60,90,"PLAIN OR FILLED WITH JAM OR JELLY",NA
"2274",2274,"http://www.stilltasty.com/searchitems/index/84.href"," PASTRIES (INCLUDING DANISH PASTRY) — PURCHASED COMMERCIALLY FROZEN",NA,NA,"9 months",2,"PURCHASED COMMERCIALLY FROZEN"," PASTRIES (INCLUDING DANISH PASTRY)"," PASTRIES (INCLUDING DANISH PASTRY)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"months","9",9,9,30,270,270,"PURCHASED COMMERCIALLY FROZEN","FROZEN"
"2275",2275,"http://www.stilltasty.com/searchitems/index/84.href"," PEACH PIE — UNBAKED",NA,"1-2 days","2-4 months",2,"UNBAKED"," PEACH PIE"," PEACH PIE",NA,NA,NA,NA,NA,NA,NA,"days","1-2",1,2,1,1,2,"months","2-4",2,4,30,60,120,"UNBAKED",NA
"2276",2276,"http://www.stilltasty.com/searchitems/index/84.href"," PEACH PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"2 weeks",NA,2,"OPENED"," PEACH PIE FILLING, COMMERCIALLY CANNED OR BOTTLED"," PEACH PIE FILLING",NA,NA,NA,NA,NA,NA,NA,"weeks","2",2,2,7,14,14,NA,NA,NA,NA,NA,NA,NA,"OPENED","OPENED"
"2277",2277,"http://www.stilltasty.com/searchitems/index/84.href"," PEACH PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","3 years",NA,NA,2,"UNOPENED"," PEACH PIE FILLING, COMMERCIALLY CANNED OR BOTTLED"," PEACH PIE FILLING","years","3",3,3,365,1095,1095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"2278",2278,"http://www.stilltasty.com/searchitems/index/84.href"," PEACH PIE — FRESHLY BAKED","2 days ","2-3 days after pantry storage","6-8 months",2,"FRESHLY BAKED"," PEACH PIE"," PEACH PIE","days","2",2,2,1,2,2,"days","2-3",2,3,1,2,3,"months","6-8",6,8,30,180,240,"FRESHLY BAKED",NA
"2279",2279,"http://www.stilltasty.com/searchitems/index/84.href"," PECAN PIE — BAKED",NA,"3-4 days","1-2 months",2,"BAKED"," PECAN PIE"," PECAN PIE",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,"months","1-2",1,2,30,30,60,"BAKED",NA
"2280",2280,"http://www.stilltasty.com/searchitems/index/84.href"," PIE CRUST MIX, DRY, COMMERCIALLY PACKAGED — UNOPENED OR OPENED","12-18 months",NA,NA,2,"UNOPENED OR OPENED"," PIE CRUST MIX, DRY, COMMERCIALLY PACKAGED"," PIE CRUST MIX","months","12-18",12,18,30,360,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED OR OPENED",NA
"2281",2281,"http://www.stilltasty.com/searchitems/index/84.href"," PIE SHELLS (CRUSTS) — PURCHASED COMMERCIALLY FROZEN",NA,NA,"12 months",2,"PURCHASED COMMERCIALLY FROZEN"," PIE SHELLS (CRUSTS)"," PIE SHELLS (CRUSTS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"months","12",12,12,30,360,360,"PURCHASED COMMERCIALLY FROZEN","FROZEN"
"2282",2282,"http://www.stilltasty.com/searchitems/index/84.href"," PIE SHELLS (CRUSTS) — PURCHASED REFRIGERATED",NA," date on package","2 months",2,"PURCHASED REFRIGERATED"," PIE SHELLS (CRUSTS)"," PIE SHELLS (CRUSTS)",NA,NA,NA,NA,NA,NA,NA,"date","",NA,NA,NA,NA,NA,"months","2",2,2,30,60,60,"PURCHASED REFRIGERATED",NA
"2283",2283,"http://www.stilltasty.com/searchitems/index/84.href"," PINEAPPLE PIE — UNBAKED",NA,"1-2 days","2-4 months",2,"UNBAKED"," PINEAPPLE PIE"," PINEAPPLE PIE",NA,NA,NA,NA,NA,NA,NA,"days","1-2",1,2,1,1,2,"months","2-4",2,4,30,60,120,"UNBAKED",NA
"2284",2284,"http://www.stilltasty.com/searchitems/index/84.href"," PINEAPPLE PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"2 weeks",NA,2,"OPENED"," PINEAPPLE PIE FILLING, COMMERCIALLY CANNED OR BOTTLED"," PINEAPPLE PIE FILLING",NA,NA,NA,NA,NA,NA,NA,"weeks","2",2,2,7,14,14,NA,NA,NA,NA,NA,NA,NA,"OPENED","OPENED"
"2285",2285,"http://www.stilltasty.com/searchitems/index/84.href"," PINEAPPLE PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","3 years",NA,NA,2,"UNOPENED"," PINEAPPLE PIE FILLING, COMMERCIALLY CANNED OR BOTTLED"," PINEAPPLE PIE FILLING","years","3",3,3,365,1095,1095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"2286",2286,"http://www.stilltasty.com/searchitems/index/84.href"," PINEAPPLE PIE — FRESHLY BAKED","2 days","2-3 days after pantry storage","6-8 months",2,"FRESHLY BAKED"," PINEAPPLE PIE"," PINEAPPLE PIE","days","2",2,2,1,2,2,"days","2-3",2,3,1,2,3,"months","6-8",6,8,30,180,240,"FRESHLY BAKED",NA
"2287",2287,"http://www.stilltasty.com/searchitems/index/84.href"," PITA BREAD, COMMERCIALLY PACKAGED — UNOPENED OR OPENED","5-7 days",NA,"3 months",2,"UNOPENED OR OPENED"," PITA BREAD, COMMERCIALLY PACKAGED"," PITA BREAD","days","5-7",5,7,1,5,7,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"UNOPENED OR OPENED",NA
"2288",2288,"http://www.stilltasty.com/searchitems/index/84.href"," PIZZA — PURCHASED COMMERCIALLY FROZEN",NA,NA,"18 months",2,"PURCHASED COMMERCIALLY FROZEN"," PIZZA"," PIZZA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"months","18",18,18,30,540,540,"PURCHASED COMMERCIALLY FROZEN","FROZEN"
"2289",2289,"http://www.stilltasty.com/searchitems/index/84.href"," PIZZA, COOKED, LEFTOVERS — HOMEMADE OR TAKE-OUT",NA,"3-4 days","1-2 months",2,"HOMEMADE OR TAKE-OUT"," PIZZA, COOKED, LEFTOVERS"," PIZZA",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,"months","1-2",1,2,30,30,60,"HOMEMADE OR TAKE-OUT",NA
"2290",2290,"http://www.stilltasty.com/searchitems/index/84.href"," PORTUGUESE ROLLS OR BUNS — HOMEMADE","4-5 days",NA,"3 months",2,"HOMEMADE"," PORTUGUESE ROLLS OR BUNS"," PORTUGUESE ROLLS OR BUNS","days","4-5",4,5,1,4,5,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"HOMEMADE",NA
"2291",2291,"http://www.stilltasty.com/searchitems/index/84.href"," PORTUGUESE ROLLS OR BUNS, COMMERCIALLY BAKED — UNOPENED OR OPENED PACKAGE","1-2 days",NA,"3 months",2,"UNOPENED OR OPENED PACKAGE"," PORTUGUESE ROLLS OR BUNS, COMMERCIALLY BAKED"," PORTUGUESE ROLLS OR BUNS","days","1-2",1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"UNOPENED OR OPENED PACKAGE",NA
"2292",2292,"http://www.stilltasty.com/searchitems/index/84.href"," POUND CAKE, BAKED, HOMEMADE OR BAKERY-PURCHASED — FROSTED","1-2 days","7 days","2-4 months",2,"FROSTED"," POUND CAKE, BAKED, HOMEMADE OR BAKERY-PURCHASED"," POUND CAKE","days","1-2",1,2,1,1,2,"days","7",7,7,1,7,7,"months","2-4",2,4,30,60,120,"FROSTED",NA
"2293",2293,"http://www.stilltasty.com/searchitems/index/84.href"," POUND CAKE, BAKED, HOMEMADE OR BAKERY-PURCHASED — UNFROSTED","1-2 days","7 days","4-6 months",2,"UNFROSTED"," POUND CAKE, BAKED, HOMEMADE OR BAKERY-PURCHASED"," POUND CAKE","days","1-2",1,2,1,1,2,"days","7",7,7,1,7,7,"months","4-6",4,6,30,120,180,"UNFROSTED",NA
"2294",2294,"http://www.stilltasty.com/searchitems/index/84.href"," PROTEIN BREAD — HOMEMADE","4-5 days",NA,"3 months",2,"HOMEMADE"," PROTEIN BREAD"," PROTEIN BREAD","days","4-5",4,5,1,4,5,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"HOMEMADE",NA
"2295",2295,"http://www.stilltasty.com/searchitems/index/84.href"," PROTEIN BREAD, COMMERCIALLY BAKED, PRE-SLICED — UNOPENED OR OPENED BAG","5-7 days",NA,"3 months",2,"UNOPENED OR OPENED BAG"," PROTEIN BREAD, COMMERCIALLY BAKED, PRE-SLICED"," PROTEIN BREAD","days","5-7",5,7,1,5,7,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"UNOPENED OR OPENED BAG",NA
"2296",2296,"http://www.stilltasty.com/searchitems/index/84.href"," PROTEIN BREAD, COMMERCIALLY BAKED, UNSLICED — UNOPENED OR OPENED BAG","4-5 days",NA,"3 months",2,"UNOPENED OR OPENED BAG"," PROTEIN BREAD, COMMERCIALLY BAKED, UNSLICED"," PROTEIN BREAD","days","4-5",4,5,1,4,5,NA,NA,NA,NA,NA,NA,NA,"months","3",3,3,30,90,90,"UNOPENED OR OPENED BAG",NA
"2297",2297,"http://www.stilltasty.com/searchitems/index/84.href"," PUFF PASTRY — PURCHASED COMMERCIALLY FROZEN",NA,NA,"1 year",2,"PURCHASED COMMERCIALLY FROZEN"," PUFF PASTRY"," PUFF PASTRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"year","1",1,1,365,365,365,"PURCHASED COMMERCIALLY FROZEN","FROZEN"
